country,count
United States,1322
United Kingdom,271
Japan,197
South Korea,170
Canada,126
France,90
India,84
Taiwan,70
Australia,64
Spain,61
Mexico,58
China,48
Germany,44
Colombia,32
Brazil,31
Turkey,30
Italy,25
Thailand,24
Singapore,23
Argentina,20
Russia,16
Egypt,15
Ireland,14
Denmark,14
Belgium,12
South Africa,11
Israel,11
Sweden,11
Nigeria,9
Poland,9
Norway,9
New Zealand,8
Netherlands,8
Malaysia,8
Lebanon,7
Czech Republic,6
Chile,5
Hong Kong,5
Finland,4
Indonesia,4
Saudi Arabia,4
Pakistan,4
Iceland,3
Philippines,3
Kuwait,3
Jordan,2
Luxembourg,2
West Germany,2
Greece,2
Ukraine,2
,1
United Arab Emirates,1
Uruguay,1
Senegal,1
Belarus,1
Malta,1
Puerto Rico,1
Austria,1
Cyprus,1
Mauritius,1
Croatia,1
Syria,1
Hungary,1
Cuba,1
Azerbaijan,1
Switzerland,1
