year;annual_subscribers;annual_revenue;annual_income;annual_spent_on_original_content
2011;23529000;3204000000;226000000;
2012;33267000;3609000000;17000000;
2013;44350000;4374000000;112000000;
2014;54476000;5500000000;266000000;
2015;70839000;6779000000;122000000;
2016;89090000;8830000000;186000000;5000000000
2017;110644000;11000000000;558000000;8900000000
2018;139259000;15800000000;1211000000;12000000000
2019;167090000;20156000000;1860000000;15300000000
2020;203660000;24990000000;2761000000;17300000000
2021;222000000;29700000000;5116000000;17000000000
